SMILES,YM,rho,Cp,Td,Tg,Tm,NAME,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds
[*]Oc1ccc2c(c1)C(=O)N(C(C)(C)c1nc3ccc(-c4ccc5c(c4)C(=O)N(C([*])(C(F)(F)F)C(F)(F)F)C5=O)cc3[nH]1)C2=O,2083.9717,1.3867108,1.3157961,754.628,548.0144,638.7859,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",614.458,5.5705,112.67,1,6,5
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(C3(c4ccc(-c5cc(-c6ccc(C7(c8ccc(-c9cccc([*])c9)cc8)c8ccccc8-c8ccccc87)cc6)ccc5N=Nc5ccc([N+](=O)[O-])cc5)cc4)c4ccccc4-c4ccccc43)cc1)C2=O,2231.1997,1.2489815,1.1903301,770.27686,564.27386,638.0394,"Polyamide derived from aromatic unit, containing amide, ketone",1095.227,17.5557,114.47,0,7,12
[*]CC(=O)C1CCC(Nc2c(Br)cc3c(c2Br)-c2cc(Br)c(-c4ccc(C[*])c(S)c4)c(Br)c2C3(C)C)CC1,1710.5188,1.4756408,1.4669547,633.59814,495.63638,549.7914,"Polymer derived from carbonyl-containing unit, containing ketone",769.235,10.5553,29.1,2,3,6
[*]C(=O)C1CC(C)(C)CC(C)(NC(C)CNc2cc(C)c(C3(c4cc(C)c(-n5c(=O)c6cc7c(=O)n([*])c(=O)c7cc6c5=O)cc4C)OC(=O)c4ccccc43)cc2C)C1,2382.7878,1.188331,1.2335621,693.3069,519.1595,591.9185,"Polymer derived from carbonyl-containing unit, containing ketone",778.906,5.96088,145.57,2,11,9
[*]N1C(=O)c2cccc(-c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccc(-c5ccc([Si](c6ccccc6)(c6ccccc6)c6ccc(C(C)(C)c7cc(C)c(-c8c(C)cc(-c9cccc%10c9C(=O)N([*])C%10=O)cc8C)c(C)c7)cc6)cc5)cc4)cc3)c2C1=O,2139.7756,1.1973858,1.2924128,743.6785,535.1441,608.4123,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",1209.607,12.78958,74.76,0,4,14
[*]c1ccc(C(=O)c2ccc3c(c2)C(=O)N(c2ccc(-c4ccc5c(c4)C(=O)N([*])C5=O)cc2)C3=O)c(C(F)(F)F)c1,2510.7095,1.3608016,1.3230047,758.2816,596.44806,677.58673,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",538.437,4.6389,91.83,0,5,4
[*]c1cc(-c2ccc(OC)cc2OC)ccc1Oc1ccc2c(c1)C(=O)N([*])C2=O,1994.1705,1.2998184,1.3580729,770.69806,483.93195,581.49225,"Polyamide derived from aromatic unit, containing amide, ketone",373.364,3.398,65.07,0,5,5
[*]c1cc(-c2ccc3sc4cc(Nc5ccc(C6(F)C(F)(F)C(F)(F)OC(F)(c7ccc(C([*])(F)F)cc7)C6(F)F)cc5)ccc4c3c2)ncn1,1987.225,1.658024,1.5079303,715.34686,453.06143,548.72217,"Polymer derived from aromatic unit, containing no major functional groups",705.577,9.9092,47.04,1,5,6
[*]c1ccc(-c2c(C)cc(-c3cc(C)c(-c4ccc(C(C)(C)c5ccc6nc([*])cnc6c5)cc4)c(C)c3)cc2C)cc1,2238.9902,1.1516604,1.1918082,748.88416,560.7291,626.3045,"Polymer derived from aromatic unit, containing no major functional groups",530.715,8.53958,25.78,0,2,5
[*]c1cccc(-c2ccc(Oc3nc4cc([*])ccc4o3)c(-c3ccc(C(=O)O)cc3)c2)c1,2115.6912,1.3367697,1.1954237,708.42566,499.13348,569.69714,"Polyester derived from aromatic unit, containing ester, ketone",405.409,5.0015,72.56,1,4,5
[*]C(=O)N1C(=O)c2ccc(-c3cc(Br)c(N4C(=O)c5ccc(N6C(=O)c7ccc(-c8ccc([*])cc8)cc7C6=O)cc5C4=O)c(Br)c3)cc2C1=O,2391.1287,1.4943488,1.53848,810.4081,586.66437,685.7597,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",773.349,6.5867,129.21,0,7,4
[*]c1ccc(Nc2c(-c3cc(-c4ccc(C(F)(F)F)cc4)ccc3[*])ccc3ccccc23)cc1,1886.9207,1.364866,1.2232888,776.3764,518.8967,631.9761,"Polymer derived from aromatic unit, containing no major functional groups",437.464,7.2854,12.03,1,1,4
[*]OCCC(=O)N1C(=S)N(CC)C(OC)C(C(=O)O[*])=C1C,1657.394,1.1879926,1.3610876,607.30334,390.98773,479.30487,"Polyamide derived from aliphatic diol-derived unit, containing amide, ester, ketone",300.336,0.5604,68.31,0,6,6
[*]C(=O)CCCCCC(=O)NC(=O)c1cc(C)c(-c2nnc(-c3ccc([*])cc3)o2)c(C)c1,1791.6412,1.2017002,1.2084092,629.59393,472.9986,614.13824,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",417.465,3.47784,102.16,1,6,9
[*]C(=O)C1CCC(N2C(=O)c3ccc(-c4cccc(-c5ccc(N=Nc6ccc([N+](=O)[O-])cc6)c(C([*])(C(F)(F)F)C(F)(F)F)c5)c4)cc3C2=O)C(C)C1,2084.9106,1.3602138,1.3431357,718.155,495.95718,573.395,"Polymer derived from carbonyl-containing unit, containing ketone",720.626,9.6901,122.31,0,7,8
[*]c1ccc(Nc2ccc(-c3cc(Nc4ccc5c(c4)C(=O)N(C([*])(C(F)(F)F)C(F)(F)F)C5=O)ccc3C)cc2)cc1,1968.4956,1.4043111,1.4236472,802.8331,567.1059,677.36554,"Polyamide derived from aromatic unit, containing amide, ketone",567.489,7.29002,61.44,2,4,6
[*]Nc1cc(-c2cc(O[SH](=O)=O)cc(C3(OC)CCC(c4nnc([*])o4)CC3)c2)ccc1N,1459.9242,1.3313503,1.2082537,662.9089,446.2877,535.72327,"Polymer derived from aromatic unit, containing no major functional groups",442.497,2.4743,129.57,3,9,7
[*]OC(=O)N(c1ccc(C)c(-c2ccc3c(c2)C(=O)N([*])C3=O)c1)c1nc2ccc([N+](=O)[O-])cc2o1,2036.375,1.2350907,1.1752242,633.55994,469.13705,549.29034,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",456.37,4.51072,136.09,0,8,4
[*]Nc1ccc(-c2ccc(-c3ccc(O[*])c(-c4cc(-c5ccc(N=Nc6ccc(C)cc6C)cc5)ccc4-c4ccc(N=Nc5ccc(C)cc5C)cc4)c3)cc2)cc1,2333.1416,1.2519598,1.2653874,747.55273,503.37173,613.37744,"Polymer derived from aromatic unit, containing no major functional groups",751.934,15.80538,70.7,1,6,11
[*]C1CCC(Cc2cc(CC3CCC([*])C(C)C3)cc(C3CCC(c4ccc(Cl)cc4)C(C)C3)c2)CC1C,1507.6709,1.0607543,1.4350923,660.227,451.32443,524.9358,"Polymer derived from organic repeating unit, containing no major functional groups",503.214,10.6604,0,0,0,6
[*]CCc1cccc(NC(=NO)C(=NO)Nc2cccc(OC(=O)c3ccc4nc(CC[*])[nH]c4c3)c2)c1,2604.1443,1.2747706,1.3281417,664.93994,494.25876,573.0123,"Polymer derived from aromatic unit, containing no major functional groups",484.516,4.9017,144.22,5,7,8
[*]c1ccc(-c2ccc(-c3ccc4cc(N/C=C\C(=O)c5cc([*])ccc5C(F)(F)F)ccc4c3)cc2)cc1,2400.5122,1.4252448,1.2972126,777.144,518.092,645.53,"Polymer derived from aromatic unit, containing no major functional groups",491.512,7.3503,29.1,1,2,6
[*]CCCOc1ccccc1OP(=O)(N=Nc1ccc(N2C(=O)c3ccc(-c4ccc(CCC[*])s4)cc3C2=O)cc1)OC,2093.8594,1.2683468,1.348779,655.277,394.44492,505.67334,"Polyphosphonate derived from aromatic unit, containing phosphonate",601.621,8.7696,106.86,0,8,14
[*]c1ccc(Sc2ccc3sc4cc(C5(F)C(F)(F)C(F)(F)OC(F)(N6C(=O)c7ccc(-c8ccc(C([*])(F)F)cc8)cc7C6=O)C5(F)F)ccc4c3c2)cc1,1964.4476,1.6001325,1.4971361,730.93085,444.93756,548.92474,"Polymer derived from aromatic unit, containing no major functional groups",789.672,10.6238,46.61,0,5,6
[*]C(=O)c1c(Br)cc(Nc2cccc(-c3cc(C)c([*])c(C)c3)c2)cc1-c1cccs1,2104.8694,1.3131837,1.4556973,685.38135,498.55,604.2127,"Polymer derived from carbonyl-containing unit, containing no major functional groups",460.396,7.06914,29.1,1,3,5
[*]C(=O)c1ccc(-c2ccc(S(=O)(=O)c3ccc(-c4ccc(Br)cc4-c4ccc(Br)cc4C([*])(C(F)(F)F)C(F)(F)F)cc3)cc2)cc1,2171.2532,1.4858708,1.4586464,759.3227,530.65826,611.2698,"Polysulfone derived from aromatic unit, containing sulfone",780.378,10.6041,51.21,0,3,7
[*]c1ccc(N2C(=O)c3ccc(-c4cc(OCCCCCCCCCC)cc(N5C(=O)c6ccc([*])cc6C5=O)c4)cc3C2=O)cc1,1666.6475,1.3606756,1.3454461,764.7691,484.66452,625.37555,"Polyimide derived from aromatic diacid-derived unit, containing imide",598.699,6.8235,83.99,0,5,13
[*]C(=O)Oc1ccc(-c2nc3cc(-c4cccc([*])c4)ccc3n2CCCS(=O)(=O)O)cc1Cl,1289.3202,1.2797226,1.096572,610.0581,459.68192,552.95917,"Polysulfone derived from aromatic unit, containing ester, ketone, sulfone",468.918,4.5243,98.49,1,6,7
[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(-c3ccc([*])cc3-c3ccc4ccccc4c3-c3ccccc3)c1)C2=O,2475.0415,1.3105593,1.3154696,793.51526,517.2145,607.15173,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",527.579,7.5055,54.45,0,3,5
[*]Oc1ccc(-n2on2-c2ccc(C3(c4ccc(N5C(=O)c6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6C5=O)cc4)NC(=O)c4ccccc43)cc2)cc1C,2410.7214,1.3007827,1.1772847,767.6346,588.1161,665.5408,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide",723.701,5.82362,136.09,1,9,7
[*]Cc1ccc(C2(c3ccc(N4C(=O)c5ccc(N6C(=O)c7ccc(CC(=O)O[*])cc7C6=O)cc5C4=O)cc3)CCc3ccccc32)cc1,1880.7356,1.3257214,1.2450198,785.1701,570.1457,686.057,"Polyimide derived from aromatic diacid-derived unit, containing ester, imide, ketone",630.656,6.1677,101.06,0,6,7
[*]c1ccc(N2Cc3ccc(-c4ccc(-c5cc(-c6ccc7c(c6)C(=O)N([*])C7=O)ccc5CCCCCCCCCCCCCCCC)cc4)cc3C2)cc1,1603.6799,1.2026668,1.3420646,707.0746,483.66617,546.2565,"Polyamide derived from aromatic unit, containing amide, ketone",714.994,12.4665,40.62,0,3,19
[*]c1ccc(-c2cc(-c3ccc4c(c3)C(=O)N(c3cc(-c5ccccc5)ccc3-c3ccccc3)C4=O)c([*])s2)cc1,2555.9834,1.3929216,1.2757223,725.9932,532.79877,676.50586,"Polyamide derived from aromatic unit, containing amide, ketone",531.636,7.5659,37.38,0,3,5
[*]c1ccc(-c2cc(CN([*])c3ccccc3)cc(N3C(=O)N(c4cccc(C56CC7CC(CC(C7)C5)C6)c4)C(=O)C3(C)C)n2)cc1,1938.9117,1.1816319,1.1991488,752.74536,524.00354,612.1017,"Polyimide derived from aromatic unit, containing amide, imide, ketone",594.759,7.6137,56.75,0,4,7
[*]c1ccc(-c2ccc(-c3cc(C(C)C)cc(C)c3-c3ccc(-c4ccc5[nH]c([*])nc5c4)cc3)cc2)cc1,2372.7202,1.2501166,1.2344159,754.0289,550.4089,670.017,"Polymer derived from aromatic unit, containing no major functional groups",476.623,8.01192,28.68,1,1,5
[*]N1C(=O)c2ccc(C(=O)OCc3cccc(-c4nn([*])c(=O)c5ccccc45)c3)cc2C1=O,2276.7021,1.4169642,1.3220106,760.67926,543.28156,622.43555,"Polyimide derived from carbonyl-containing unit, containing ester, imide, ketone",423.384,2.7932,98.57,0,7,4
[*]c1nc(-c2cccc(C(=O)O)c2)nc(-c2ccc(-c3nc([*])nc(N4CCCCC4)n3)c3c2C2c4ccccc4C3c3ccccc32)n1,2259.0847,1.260883,1.3293805,699.0776,495.2831,585.8002,"Polyester derived from carbonyl-containing unit, containing ester, ketone",613.681,5.0825,117.88,1,8,5
[*]Oc1ccc(-c2ccc(Oc3cccc(Oc4ccc([*])s4)c3)cc2)s1,2637.1763,1.2665899,1.2411609,685.48474,375.55966,486.65942,"Polymer derived from aromatic unit, containing no major functional groups",364.447,6.0789,27.69,0,5,6
[*]OC(C)C(C)OC(C)C(C)OC([*])=O,448.5261,0.99489796,1.3082966,550.0671,284.70828,386.9005,"Polymer derived from organic repeating unit, containing no major functional groups",188.223,1.7238,44.76,0,4,6
[*]OC(=O)c1cc(-c2ccc(O[*])cc2)cc(C)c1-c1ccccc1,2695.5564,1.2470304,1.1954795,699.90375,414.7584,574.8417,"Polymer derived from aromatic unit, containing no major functional groups",302.329,4.79322,35.53,0,3,4
[*]Oc1ccc(Oc2ccc(-c3ccc4c(c3)C(=O)N(c3ccc5c(c3)C(=O)N([*])C5=O)C4=O)s2)cc1,2246.3699,1.3691498,1.3584429,711.46246,538.97424,607.3748,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",480.457,4.9114,93.22,0,7,5
[*]Oc1cc(C)c(C([*])(C(F)(F)F)C(F)(F)F)c(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)c1,2100.0303,1.3832581,1.366424,717.4891,479.50623,581.8295,"Polymer derived from aromatic unit, containing no major functional groups",484.439,8.70832,9.23,0,1,5
[*]COC(=O)c1ccc(-c2ccc3nc(-c4nc5ccc(OCO[*])cc5[nH]4)[nH]c3c2)cc1,1990.2158,1.2988784,1.1938037,723.46564,460.79755,560.58545,"Polyether derived from aromatic unit, containing ether",412.405,4.254,102.12,2,6,7
[*]CC([*])C1C(C)(C)C(Oc2ccc(C(=O)CC)c(C(=O)CC)c2)C1(C)C,754.0454,1.0635165,1.3354658,656.86304,410.22278,514.61505,"Polymer derived from organic repeating unit, containing ketone",342.479,5.607,43.37,0,3,8
[*]c1ccc(-c2c(Nc3ccc4c(c3)C(=O)N(c3ccc(C5([*])OC(=O)c6ccccc65)cc3)C4=O)csc2CCCCCCCC)cc1,2052.959,1.2703732,1.2074323,787.11786,569.0541,668.36566,"Polyamide derived from aromatic unit, containing amide, ketone",638.789,8.9577,75.71,1,6,12
[*]c1ccc(-c2ccc3c(c2)C(=O)N(C(=O)c2ccc(Oc4cc(O)c([*])cc4O)cc2)C3=O)cc1,2133.8809,1.4025277,1.2294141,664.35443,548.3683,634.74976,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",449.418,3.3427,104.14,2,6,4
[*]C(=O)c1ccc(F)c(SCCCC(=O)N2C(=O)c3ccc(-c4ccc([*])s4)cc3C2=O)c1,2150.9905,1.3506799,1.2286351,657.41437,430.10284,562.0266,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",451.5,4.1134,71.52,0,6,7
[*]c1ccc(-c2ccc3c(c2)C(=O)N(c2cc(OC)ccc2-c2ccc4c(c2)C(=O)N(c2ccc([*])cc2)C4)C3=O)cc1,2148.9458,1.305869,1.234697,809.5051,567.2397,674.6578,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",534.571,5.3394,66.92,0,4,5
[*]Oc1ccc2c(c1)C(C)(c1ccc(Cc3ccc(C4(C)CC(C)(C)c5cc(-c6ccc7c(c6)C(=O)N(C(=O)SN6CC(C)N([*])CC6C)C7=O)ccc54)cc3)cc1)CC2(C)C,2190.4585,1.1658155,1.22862,675.2293,480.37744,559.41736,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",816.08,10.9852,70.16,0,7,7
[*]Oc1c(C)cc(C)c(C2(N3C(=O)c4ccc(NC([*])=O)cc4C3=O)CC=C(C)CC2)c1C,2008.713,1.18604,1.1652793,651.00793,499.44275,597.59686,"Polymer derived from carbonyl-containing unit, containing no major functional groups",416.477,5.15786,75.71,1,4,4
[*]c1ccc(Cc2cccc(-c3cccc(-c4ccc(C5(c6ccc(-c7cccc(-c8nc9ccccc9n8[*])c7)cc6)c6ccccc6-c6ccccc65)cc4)c3)c2)cc1,2151.0076,1.2670513,1.400052,813.9795,531.84753,634.9366,"Polymer derived from aromatic unit, containing no major functional groups",750.945,13.1452,17.82,0,2,8
[*]N1C(=O)c2ccc(-c3cccc(-c4cccc(-c5cccc(N6C(=O)c7ccc(-c8ccc9[nH]c(C%10CCCN%10[*])nc9c8)cc7C6=O)c5)c4)c3)cc2C1=O,2057.6082,1.3113832,1.4554483,767.36835,517.9517,597.3974,"Polyimide derived from carbonyl-containing unit, containing imide",703.758,8.693,106.68,1,6,6
[*]NC(=O)C(CCCCCCCCCCCCCCCC)C(=O)N1C(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5cc([*])ccc5C(=O)O)C6)cc4C3=O)cc2C1=O,2064.1045,1.2593828,1.2821758,667.3548,512.0557,589.95807,"Polyimide derived from carbonyl-containing unit, containing amide, ester, imide, ketone",850.969,8.3781,178.54,2,8,21
[*]CC(C)c1ccc(-c2cc(C)c(-c3nc(-c4ccc(-c5ccccn5)cc4)nnc3[*])c3ccccc23)cc1,1639.4807,1.2382228,1.2653875,649.1912,475.83453,553.18823,"Polymer derived from aromatic unit, containing no major functional groups",490.61,7.64192,51.56,0,4,6
[*]Oc1ccccc1Oc1[nH]c(C(=O)c2ccccc2)nc1[*],2159.8718,1.2813723,1.3658009,645.1852,417.13068,492.60666,"Polymer derived from aromatic unit, containing no major functional groups",278.267,2.4507,64.21,1,4,5
[*]Oc1ccc(-c2nc([*])nc(-c3cccc(-c4ccc5ccc(C(=O)O)cc5c4)c3)n2)cc1,2539.7932,1.285921,1.2819337,746.6854,516.65796,610.5989,"Polyester derived from aromatic unit, containing ester, ketone",417.424,4.7417,85.2,1,5,5
[*]N1CCN(c2ccc(C(C)(C)C3CCC(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(C([*])(C(F)(F)F)C(F)(F)F)C7=O)cc5C4=O)CC3)cc2)CC1,1989.7068,1.3157291,1.3472569,762.00287,587.772,696.5299,"Polyimide derived from carbonyl-containing unit, containing amide, imide, ketone",724.702,7.0387,81.24,0,6,6
[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Sc3cc(C)c(-c4ccc([*])o4)c(C)c3)o1)C2=O,1590.931,1.2598248,1.1430391,660.03284,411.76334,517.8314,"Polyamide derived from aromatic unit, containing amide, ketone",429.453,5.12594,72.89,0,6,5
[*]c1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)-c4cc(N6C(=O)c7ccc(-c8ccc(C([*])(C(F)(F)F)C(F)(F)F)cc8)cc7C6=O)ccc4C5)cc3C2=O)cc1,2257.2866,1.3938456,1.3217291,784.9807,609.0708,703.462,"Polyimide derived from aromatic diacid-derived unit, containing imide",756.658,9.2368,74.76,0,4,5
[*]c1ccc(N2C(=O)c3ccc(S(=O)(=O)c4ccc5c(c4)C(=O)N(C(=O)C4COC(c6ccc7[nH]c(N8C(=O)c9ccc(S(=O)(=O)c%10ccc%11c(c%10)C(=O)N([*])C%11=O)cc9C8=O)nc7c6)OC4)C5=O)cc3C2=O)cc1,2158.8303,1.3881316,1.2746949,724.1099,554.1914,637.51337,"Polyimide derived from aromatic diacid-derived unit, containing amide, ether, imide, ketone, sulfone",1014.919,3.549,282.01,1,16,8
[*]c1ccc2c(c1)C(CCCCCC)(CCCCCC)c1cc(-c3ccc4c(c3)C(=O)N(C(C)(C)c3ccc(-c5ccc6c(c5)C(=O)N(c5ccc7nc([*])oc(=O)c7c5)C6=O)cc3C)C4=O)ccc1-2,1929.9521,1.2544726,1.1856169,744.1452,507.61014,609.0356,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",900.088,11.71882,117.86,0,7,15
[*]C(=O)c1ccc2c(c1)C(=O)N(c1c(-c3ccccc3)cccc1-c1ccccc1-c1ccc(S([*])(=O)=O)cc1)C2=O,1876.7632,1.3220079,1.205262,774.36633,537.7261,642.5308,"Polyamide derived from aromatic diacid-derived unit, containing amide, ketone",541.584,6.4157,88.59,0,5,6
[*]CC(c1cc(-c2ccc(O)c3ncccc23)ccc1-c1ccc(-c2ccc(-c3ccc(N=Nc4ccc([N+](=O)[O-])cc4)cc3)cc2C)c(C)c1)C(C)C([*])=O,1914.8722,1.2630817,1.167944,661.92957,476.35544,552.18915,"Polymer derived from aromatic unit, containing no major functional groups",708.818,12.31204,118.05,1,7,11
[*]c1nc(-c2ccc(-c3ccc4c(c3)C(=O)N([*])C4=O)c(C)c2)nc(C2(N3CCCCC3)CC3CCC2C3)n1,2027.7866,1.2264881,1.1783053,695.23676,514.303,604.2761,"Polyamide derived from carbonyl-containing unit, containing amide, ketone",491.595,4.25012,79.29,0,6,4
[*]c1nc(Oc2nc([*])nc(-c3ccccc3-c3ccc(N=Nc4ccncc4)cc3)n2)nc(-c2ccccc2)n1,2788.2815,1.2868943,1.3062742,705.5043,471.17307,566.4784,"Polymer derived from organic repeating unit, containing no major functional groups",507.517,5.0095,124.18,0,10,7
[*]c1ccc(-c2ccc3c(c2)OCCOCCOCCOCCO3)c(-c2ccc(-c3ccc4c(c3)OCCOCCOCCOCCO4)cc2-c2ccc3c(c2)C(=O)N([*])C3=O)c1,1553.2765,1.3496819,1.2862004,720.02325,454.64825,542.887,"Polyamide derived from aromatic unit, containing amide, ether, ketone",829.899,6.2315,129.68,0,12,4
[*]C(=O)c1ccc(S(=O)(=O)c2ccc(OC(=O)N3C(=O)c4ccc(S(=O)(=O)c5ccc6c(c5)C(=O)N([*])C6=O)cc4C3=O)cc2)cc1,2030.2637,1.4335068,1.282527,691.7479,555.7786,632.13654,"Polyimide derived from aromatic diacid-derived unit, containing amide, imide, ketone, sulfone",642.579,2.897,186.41,0,11,6
[*]c1ccc(-c2ccc3ccc(-c4ccc(OC(F)(F)F)cc4N4C(=O)c5ccc(C(F)(F)C(F)(F)C([*])(F)F)cc5C4=O)cc3c2)cc1,1599.363,1.476645,1.3600712,753.7076,453.7698,568.76465,"Polymer derived from aromatic unit, containing no major functional groups",657.488,8.9168,46.61,0,3,7
[*]c1ccc(-c2ccc(C(CCCCCCCC)c3ccc(C(CCCCCCCC)N4C(=O)c5ccc(-c6ccc([*])cc6)cc5C4=O)s3)cc2)cc1,2231.8225,1.2905054,1.5116695,689.9105,397.40186,501.36148,"Polymer derived from aromatic unit, containing no major functional groups",708.024,12.4017,37.38,0,3,20
[*]c1ccc(-c2ccc(S(=O)(=O)c3ccc(-c4cc([*])c(C)cc4SCC(C)O)cc3)cc2)cc1,1760.5656,1.2986704,1.2707604,636.4624,504.6338,568.67914,"Polysulfone derived from aromatic unit, containing sulfone",472.631,4.98392,54.37,1,4,7
[*]O[Si]([*])(C)CCc1ccc(N2C(=O)c3ccc(-c4ccc5c(c4)C(=O)N(c4ccc(O)cc4)C5=O)cc3C2=O)c(-c2ccc(O)cc2)c1,2249.8484,1.3006363,1.2322348,678.75745,523.2676,634.8105,"Polyimide derived from organic repeating unit, containing amide, imide, ketone",638.708,6.6777,124.45,2,7,8
[*]Oc1ccc2nc(C3CCC4C5CC=C6CC(c7ccc(-c8ccc(-c9nnc([*])o9)cc8)cc7)CCC6(C)C5CCC34C)sc2c1,2036.4783,1.1357994,1.3119866,629.7855,433.0436,518.5731,"Polymer derived from aromatic unit, containing no major functional groups",625.838,9.8612,61.04,0,6,5
