SMILES,Tg,PID,Polymer Class,Tensile_Strength,Elastic_Modulus
*/C=C/CCC*,-92.5,P010098,Polydienes,18.38,0.36
*CC(*)C1CCCC(C)C1,141.0,P010091,Polyolefins,43.8,1.62
*CC(*)C1CCC(C)CC1,132.0,P010092,Polyolefins,47.67,1.67
*CC/C=C(/*)CCCCCCC,-83.0,P010096,Polydienes,14.41,0.19
*CC/C=C(/*)C(C)C,-47.0,P010097,Polydienes,24.95,0.64
*/C=C/CCC*,-105.0,P010068,Polydienes,17.36,0.3
*/C=C/CCC*,-105.0,P010082,Polydienes,18.3,0.33
*/C=C/CCC*,-105.0,P010098,Polydienes,18.0,0.3
*/C=C/C1CCC(*)C1,31.0,P010103,Polydienes,38.48,1.2
*/C=C/CCCCCCCCCC*,-53.0,P010106,Polydienes,13.56,0.25
*/C=C/*,-4.0,P014362,Polydienes,29.61,1.0
*CC1(*)CCCCC1,100.0,P014500,Polyolefins,41.67,1.5
*CC/C=C(/*)C(C)(C)C,25.0,P014525,Polydienes,32.33,1.1
*CC/C=C(/*)C(C)(C)C,25.0,P060023,Polydienes,33.57,1.02
*CC(*)c1ccccc1,98.0,P020001,"Polystyrenes, Polyvinyls",52.35,2.1
*CC(*)c1ccccc1,98.0,P322231,"Polystyrenes, Polyvinyls",56.59,2.0
*CC(*)c1ccccc1C,131.0,P020002,"Polystyrenes, Polyvinyls",61.44,2.58
*CC(*)c1ccccc1COC,89.0,P020005,"Polystyrenes, Polyvinyls",56.28,2.06
*CC(*)c1ccccc1COCC,74.0,P020006,"Polystyrenes, Polyvinyls",47.06,1.93
*CC(*)c1ccccc1COCCC,97.0,P020007,"Polystyrenes, Polyvinyls",55.85,2.11
*CC(*)c1ccccc1COC(C)C,88.0,P020008,"Polystyrenes, Polyvinyls",48.71,2.07
*CC(*)c1ccccc1COCCCC,67.0,P020009,"Polystyrenes, Polyvinyls",50.35,1.64
*CC(*)c1ccccc1COCCCCC,47.0,P020010,"Polystyrenes, Polyvinyls",48.04,1.5
*CC(*)c1ccccc1COCCC(C)C,78.0,P020011,"Polystyrenes, Polyvinyls",47.43,1.81
*CC(*)c1ccccc1COCc1ccccc1,72.0,P020012,"Polystyrenes, Polyvinyls",70.64,2.55
*CC(*)c1ccccc1COCCc1ccccc1,63.0,P020013,"Polystyrenes, Polyvinyls",66.29,2.42
*CC(*)c1ccccc1C(=O)NC,189.0,P020014,"Polystyrenes, Polyvinyls",65.75,2.53
*CC(*)c1ccccc1C(=O)N(C)C,190.0,P020015,"Polystyrenes, Polyvinyls",68.74,2.66
*CC(*)c1ccccc1C(=O)Nc1ccccc1,191.0,P020016,"Polystyrenes, Polyvinyls",90.15,3.15
*CC(*)c1ccccc1C(=O)O,177.0,P020017,"Polystyrenes, Polyvinyls",58.7,2.58
*CC(*)c1ccccc1C(=O)OC,130.0,P020018,"Polystyrenes, Polyvinyls",60.94,2.1
*CC(*)c1ccccc1C(=O)OCC,118.0,P020019,"Polystyrenes, Polyvinyls",61.98,2.14
*CC(*)c1ccccc1C(=O)OCCC,108.0,P020020,"Polystyrenes, Polyvinyls",59.96,2.2
*CC(*)c1ccccc1C(=O)OC(C)C,146.0,P020021,"Polystyrenes, Polyvinyls",61.85,2.15
*CC(*)c1ccccc1C(=O)OCCCC,66.0,P020022,"Polystyrenes, Polyvinyls",53.27,1.78
*CC(*)c1ccccc1C(=O)OCC(C)C,127.0,P020023,"Polystyrenes, Polyvinyls",52.97,2.02
*CC(*)c1ccccc1C(=O)OCCCCC,92.0,P020024,"Polystyrenes, Polyvinyls",55.88,1.84
*CC(*)c1ccccc1C(=O)OCCC(C)C,68.0,P020025,"Polystyrenes, Polyvinyls",53.27,1.88
*CC(*)c1ccccc1C(=O)OCCCCCC,45.0,P020026,"Polystyrenes, Polyvinyls",46.23,1.47
*CC(*)c1ccccc1C(=O)Oc1ccccc1,124.0,P020027,"Polystyrenes, Polyvinyls",78.49,2.83
*CC(*)c1ccccc1C(=O)OCCN(C)C,69.0,P020028,"Polystyrenes, Polyvinyls",48.56,1.74
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,91.0,P020029,"Polystyrenes, Polyvinyls",57.87,2.02
*CC(*)c1ccccc1Cl,119.0,P020032,"Polystyrenes, Polyvinyls",57.36,2.36
*CC(*)c1ccccc1F,160.5,P020033,"Polystyrenes, Polyvinyls",62.54,2.34
*CC(*)c1cccc(C)c1,75.0,P020035,"Polystyrenes, Polyvinyls",53.28,2.12
*CC(*)c1cccc(Cl)c1,90.0,P020039,"Polystyrenes, Polyvinyls",59.6,2.29
*CC(*)c1cccc(F)c1,86.0,P020040,"Polystyrenes, Polyvinyls",53.72,2.26
*CC(*)c1ccc(C)cc1,103.0,P020041,"Polystyrenes, Polyvinyls",60.98,2.36
*CC(*)c1ccc(CC)cc1,71.4,P020042,"Polystyrenes, Polyvinyls",56.47,1.84
*CC(*)c1ccc(C(C)C)cc1,62.4,P020043,"Polystyrenes, Polyvinyls",49.1,2.08
*CC(*)c1ccc(CCCC)cc1,6.0,P020045,"Polystyrenes, Polyvinyls",39.59,1.69
*CC(*)c1ccc(C(C)(C)C)cc1,138.0,P020046,"Polystyrenes, Polyvinyls",66.25,2.52
*CC(*)c1ccc(CCCCCC)cc1,-27.0,P020049,"Polystyrenes, Polyvinyls",38.1,1.44
*CC(*)c1ccc(CCCCCCCC)cc1,-45.0,P020050,"Polystyrenes, Polyvinyls",36.45,1.1
*CC(*)c1ccc(CCCCCCCCC)cc1,-53.0,P020051,"Polystyrenes, Polyvinyls",30.38,1.08
*CC(*)c1ccc(CCCCCCCCCC)cc1,-65.0,P020052,"Polystyrenes, Polyvinyls",28.77,0.86
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,-52.0,P020053,"Polystyrenes, Polyvinyls",26.49,0.97
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,-36.0,P020054,"Polystyrenes, Polyvinyls",28.56,0.79
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,4.5,P020055,"Polystyrenes, Polyvinyls",29.1,0.93
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,32.0,P020056,"Polystyrenes, Polyvinyls",26.56,1.0
*CC(*)c1ccc(-c2ccccc2)cc1,161.5,P020058,"Polystyrenes, Polyvinyls",80.02,2.95
*CC(*)c1ccc(COCCOCC)cc1,0.0,P020059,"Polystyrenes, Polyvinyls",39.87,1.3
*CC(*)c1ccc(C#N)cc1,180.0,P020060,"Polystyrenes, Polyvinyls",65.03,2.77
*CC(*)c1ccc(Cl)cc1,124.0,P020061,"Polystyrenes, Polyvinyls",63.08,2.18
*CC(*)c1ccc(Br)cc1,132.0,P020062,"Polystyrenes, Polyvinyls",60.16,2.15
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,42.0,P020063,"Polystyrenes, Polyvinyls",61.07,1.72
*CC(*)c1ccc(/C(C)=N/O)cc1,134.0,P020064,"Polystyrenes, Polyvinyls",64.3,2.41
*CC(*)c1ccc(C(C)(C)O)cc1,170.0,P020065,"Polystyrenes, Polyvinyls",58.94,2.42
*CC(*)c1ccc(C(C)(O)CC)cc1,190.0,P020066,"Polystyrenes, Polyvinyls",65.15,2.75
*CC(*)c1ccc(C(C)(O)CCC)cc1,135.0,P020067,"Polystyrenes, Polyvinyls",54.98,2.28
*CC(*)c1ccc(C(C)(O)CCCC)cc1,90.0,P020068,"Polystyrenes, Polyvinyls",57.07,1.88
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,100.0,P020069,"Polystyrenes, Polyvinyls",49.22,2.0
*CC(*)c1ccc(C(O)CCN(C)C)cc1,43.0,P020070,"Polystyrenes, Polyvinyls",49.45,1.59
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,54.0,P020071,"Polystyrenes, Polyvinyls",49.23,1.82
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,50.0,P020072,"Polystyrenes, Polyvinyls",51.2,1.7
*CC(*)c1ccc(COC)cc1,77.0,P020074,"Polystyrenes, Polyvinyls",50.28,2.05
*CC(*)c1ccc(COCCO)cc1,46.0,P020075,"Polystyrenes, Polyvinyls",46.71,1.6
*CC(*)c1ccc(COCCC)cc1,22.0,P020076,"Polystyrenes, Polyvinyls",44.41,1.56
*CC(*)c1ccc(COCCCC)cc1,10.0,P020077,"Polystyrenes, Polyvinyls",41.1,1.44
*CC(*)c1ccc(COCCCCO)cc1,20.0,P020078,"Polystyrenes, Polyvinyls",40.01,1.42
*CC(*)c1ccc(COC(C)CC)cc1,40.0,P020079,"Polystyrenes, Polyvinyls",46.71,1.66
*CC(*)c1ccc(COCCCCCC)cc1,-20.0,P020080,"Polystyrenes, Polyvinyls",39.35,1.27
*CC(*)c1ccc(COCCOCCCC)cc1,-38.0,P020083,"Polystyrenes, Polyvinyls",31.6,1.05
*CC(*)c1ccc(C(=O)N(C)C)cc1,125.0,P020084,"Polystyrenes, Polyvinyls",57.73,2.23
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,102.0,P020085,"Polystyrenes, Polyvinyls",49.91,1.86
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,114.0,P020086,"Polystyrenes, Polyvinyls",56.44,2.22
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,38.0,P020087,"Polystyrenes, Polyvinyls",48.49,1.82
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,127.0,P020088,"Polystyrenes, Polyvinyls",56.9,2.15
*CC(*)c1ccc(C(=O)OC)cc1,122.0,P020090,"Polystyrenes, Polyvinyls",56.9,2.43
*CC(*)c1ccc(C(=O)OCC)cc1,94.0,P020091,"Polystyrenes, Polyvinyls",56.6,2.01
*CC(*)c1ccc(C(=O)OCCC)cc1,92.0,P020092,"Polystyrenes, Polyvinyls",51.44,1.86
*CC(*)c1ccc(C(=O)OC(C)C)cc1,95.0,P020093,"Polystyrenes, Polyvinyls",55.97,2.16
*CC(*)c1ccc(C(=O)OCCCC)cc1,76.0,P020094,"Polystyrenes, Polyvinyls",54.36,1.82
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,90.0,P020095,"Polystyrenes, Polyvinyls",58.21,2.04
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,66.0,P020096,"Polystyrenes, Polyvinyls",50.48,1.73
*CC(*)c1ccc(C(=O)CC)cc1,102.0,P020098,"Polystyrenes, Polyvinyls",53.76,2.19
*CC(*)c1ccc(C(=O)CCC)cc1,74.0,P020099,"Polystyrenes, Polyvinyls",52.77,1.96
*CC(*)c1ccc(C(=O)CCCC)cc1,70.0,P020100,"Polystyrenes, Polyvinyls",46.11,1.83
*CC(*)c1ccc(C(=O)CCCCC)cc1,66.0,P020101,"Polystyrenes, Polyvinyls",45.19,1.71
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,50.0,P020102,"Polystyrenes, Polyvinyls",42.48,1.54
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,78.0,P020103,"Polystyrenes, Polyvinyls",67.43,2.97
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,98.0,P020104,"Polystyrenes, Polyvinyls",76.44,2.9
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,99.0,P020105,"Polystyrenes, Polyvinyls",79.49,2.86
*CC(*)c1ccc(F)cc1,95.0,P020108,"Polystyrenes, Polyvinyls",54.75,2.21
*CC(*)c1ccc(I)cc1,158.0,P020110,"Polystyrenes, Polyvinyls",73.8,2.28
*CC(*)c1ccc(OC)cc1,108.4,P020112,"Polystyrenes, Polyvinyls",52.28,2.22
*CC(*)c1ccc(OCC)cc1,86.0,P020113,"Polystyrenes, Polyvinyls",49.66,2.0
*CC(*)c1ccc(OCCC)cc1,70.0,P020114,"Polystyrenes, Polyvinyls",49.98,1.88
*CC(*)c1ccc(OCCCC)cc1,52.0,P020115,"Polystyrenes, Polyvinyls",50.98,1.68
*CC(*)c1ccc(OCCC(C)C)cc1,57.0,P020116,"Polystyrenes, Polyvinyls",49.37,1.76
*CC(*)c1ccc(Oc2ccccc2)cc1,85.0,P020117,"Polystyrenes, Polyvinyls",72.31,3.01
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,217.0,P020119,"Polystyrenes, Polyvinyls",64.48,2.71
*CC(*)c1ccc([Si](C)(C)C)cc1,136.0,P020120,"Polystyrenes, Polyvinyls",56.21,2.32
*CC(*)c1c(Cl)cccc1Cl,165.0,P020121,"Polystyrenes, Polyvinyls",59.86,2.51
*CC(*)c1ccc(C)cc1C,112.0,P020122,"Polystyrenes, Polyvinyls",55.88,2.13
*CC(*)c1ccc(Cl)cc1C,145.0,P020125,"Polystyrenes, Polyvinyls",59.16,2.47
*CC(*)c1ccc(Cl)cc1Cl,135.0,P020126,"Polystyrenes, Polyvinyls",59.45,2.49
*CC(*)c1cc(C)ccc1C,143.0,P020130,"Polystyrenes, Polyvinyls",58.13,2.46
*CC(*)c1cc(C(C)(C)C)ccc1C,87.0,P020131,"Polystyrenes, Polyvinyls",59.13,2.08
*CC(*)c1cc(Cl)ccc1Cl,108.0,P020133,"Polystyrenes, Polyvinyls",65.95,2.18
*CC(*)c1cc(Br)ccc1OCCCC,47.0,P020136,"Polystyrenes, Polyvinyls",53.0,1.89
*CC(*)c1cc(Br)ccc1OCC,80.0,P020137,"Polystyrenes, Polyvinyls",54.82,1.82
*CC(*)c1cc(Br)ccc1OC,86.0,P020138,"Polystyrenes, Polyvinyls",62.02,2.04
*CC(*)c1cc(Br)ccc1OCCC,54.0,P020139,"Polystyrenes, Polyvinyls",52.42,1.67
*CC(*)c1cc(Br)ccc1OC(C)C,35.0,P020140,"Polystyrenes, Polyvinyls",54.07,1.95
*CC(*)c1cc(Br)ccc1OCCCCC,49.0,P020141,"Polystyrenes, Polyvinyls",52.65,1.64
*CC(*)c1cc(Br)ccc1OCCC(C)C,37.0,P020142,"Polystyrenes, Polyvinyls",50.8,1.64
*CC(*)c1cc(C)cc(C)c1,112.0,P020143,"Polystyrenes, Polyvinyls",59.53,2.21
*CC(*)c1ccc(C)c(C)c1,111.0,P020144,"Polystyrenes, Polyvinyls",62.73,2.34
*CC(*)c1ccc(Cl)c(C)c1,114.0,P020145,"Polystyrenes, Polyvinyls",57.36,2.05
*CC(*)c1ccc(Cl)c(Cl)c1,128.0,P020146,"Polystyrenes, Polyvinyls",62.16,2.37
*CC(*)c1ccc(Cl)c(F)c1,122.0,P020147,"Polystyrenes, Polyvinyls",57.14,2.47
*CC(*)c1c(C)cc(C)cc1C,126.0,P020148,"Polystyrenes, Polyvinyls",62.48,2.11
*CC(*)c1cc(C)c(C)cc1C,104.0,P020149,"Polystyrenes, Polyvinyls",52.86,2.31
*CC(*)(C)c1ccccc1,168.0,P020151,"Polystyrenes, Polyvinyls",67.46,2.42
*CC(*)(C)c1ccc(C(C)C)cc1,140.0,P020152,"Polystyrenes, Polyvinyls",56.81,2.34
*C(F)(F)C(*)(F)c1ccccc1,206.0,P020153,Other polymers,76.44,2.51
*C(F)(F)C(*)(F)c1c(F)c(F)c(F)c(F)c1F,194.0,P020154,Other polymers,69.18,2.47
*CC(*)c1cccc2ccccc12,160.0,P020156,"Polystyrenes, Polyvinyls",72.04,3.0
*CC(*)c1ccc(C(C)=O)cc1,115.5,P020157,"Polystyrenes, Polyvinyls",52.65,2.04
*CC(*)c1ccc(C(=O)CCN2CCOCC2)cc1,41.0,P020158,"Polystyrenes, Polyvinyls",52.49,1.58
*CC(*)(C(=O)OC)c1ccccc1,121.0,P020177,"Polystyrenes, Polyacrylics, Polyvinyls",57.7,2.27
*CC(*)(C)c1ccc(C)cc1,176.0,P020181,"Polystyrenes, Polyvinyls",64.53,2.67
*CC(*)c1ccc(C(=O)C(F)(F)F)cc1,95.0,P020185,"Polystyrenes, Polyvinyls",63.43,2.27
*CC(*)c1ccc(C(=O)c2ccc(OC)cc2)cc1,103.0,P020186,"Polystyrenes, Polyvinyls",71.26,3.06
*CC(*)c1ccc(B(O[Si](C)(C)C)O[Si](C)(C)C)cc1,84.0,P020187,"Polystyrenes, Polyvinyls",51.58,1.79
*CC(*)c1cccc(B(O[Si](C)(C)C)O[Si](C)(C)C)c1,35.0,P020188,"Polystyrenes, Polyvinyls",46.41,1.72
*CC(*)c1ccc2ccccc2c1,146.5,P020189,"Polystyrenes, Polyvinyls",81.29,3.48
*CC(*)c1ccncc1,150.0,P020190,"Polystyrenes, Polyvinyls",59.04,2.59
*CC(*)c1cccc(C)n1,92.0,P020191,"Polystyrenes, Polyvinyls",53.81,1.99
*CC(*)c1ccc(C)nc1,136.0,P020192,"Polystyrenes, Polyvinyls",66.44,2.5
*CC(*)n1cc2ccccc2n1,41.5,P020193,Polyvinyls,61.42,2.54
*CC(c1ccccn1)C(c1ccccc1)C(*)c1ccccn1,150.0,P020194,"Polystyrenes, Polyvinyls",93.03,3.84
*CC(*)c1ccc(O)cc1,158.0,P020195,"Polystyrenes, Polyvinyls",61.29,2.54
*CC(*)c1ccc(OC(C)=O)cc1,113.0,P020198,"Polystyrenes, Polyvinyls",58.64,2.34
*CC(*)c1ccc(CCC)cc1,46.75,P024305,"Polystyrenes, Polyvinyls",47.49,1.81
*CC(*)c1ccc(COCC(CC)CCCC)cc1,-23.0,P024504,"Polystyrenes, Polyvinyls",34.48,1.2
*CC(*)c1ccc(COCCOCCCCCCCC)cc1,-42.0,P024505,"Polystyrenes, Polyvinyls",24.65,0.94
*C([2H])([2H])C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],97.0,P029029,"Polystyrenes, Polyvinyls",57.37,1.99
*CC(*)O,76.5,P030001,Polyvinyls,34.55,1.29
*CC(*)C(C)=O,115.0,P030006,Polyvinyls,43.83,1.35
*CC(*)C#N,95.0,P030010,Polyvinyls,36.34,1.33
*CC(*)(C)C#N,88.5,P030011,Polyvinyls,43.11,1.36
*CC(*)c1ccccn1,100.0,P030014,"Polystyrenes, Polyvinyls",51.48,2.01
*CC(*)c1ccccn1,100.0,P322232,"Polystyrenes, Polyvinyls",53.18,2.37
*CC(*)n1c2ccccc2c2ccccc21,225.0,P030015,Polyvinyls,101.09,4.24
*CC(*)C[Si](C)(C)C,114.0,P030017,Polyvinyls,37.64,1.34
*CC(*)OC,-25.8,P030018,Polyvinyls,28.63,0.85
*CC(*)OCC,-33.0,P030019,Polyvinyls,25.13,0.69
*CC(*)OCCCC,-51.0,P030020,Polyvinyls,19.36,0.54
*CC(*)OCCCCC,-66.0,P030021,Polyvinyls,17.32,0.37
*CC(*)OCCCCCC,-74.0,P030022,Polyvinyls,14.91,0.27
*CC(*)OCCCCCCCCCC,-62.0,P030023,Polyvinyls,11.2,0.13
*CC(*)OC(C)=O,32.0,P030024,Polyvinyls,32.2,0.99
*CC(*)OC(=O)CC,11.9,P030025,Polyvinyls,31.01,0.95
*CC(*)OC(=O)c1ccccc1,70.4,P030026,Polyvinyls,55.78,1.96
*CC(*)OCC(C)C,-22.0,P030027,Polyvinyls,23.52,0.63
*CC(*)O[N+](=O)[O-],37.5,P030035,Polyvinyls,29.95,0.98
*/C=C/C(C)C(*)C(=O)OC,53.0,P030036,Polyvinyls,33.71,1.13
*C#C/C(COS(=O)(=O)c1ccc(C)cc1)=C(/*)COS(=O)(=O)c1ccc(C)cc1,-73.0,P030037,Polyvinyls,62.59,1.72
*CC(*)CC[Si](C)(C)C,132.0,P030038,Polyvinyls,44.48,1.45
*CC(*)OC=O,37.0,P030040,Polyvinyls,31.64,1.11
*CC(*)OC(C)C,-7.5,P030045,Polyvinyls,26.34,0.84
*CC(*)(C)OC,67.0,P030046,Polyvinyls,34.5,1.33
*CC(*)OC(C)CC,-26.0,P030048,Polyvinyls,22.2,0.62
*CC(*)OC(=O)C(F)(F)F,55.0,P030049,Polyvinyls,38.77,1.27
*C1CC(*)(C#N)C1,220.0,P030062,Polyvinyls,59.76,2.22
*CC(*)Cc1cccc(C)c1,40.0,P030067,Polyvinyls,46.33,1.76
*CC(*)Cc1ccccc1C,80.0,P030068,Polyvinyls,49.12,2.25
*CC(*)Cc1ccc(C)cc1,65.0,P030069,Polyvinyls,49.04,1.87
*CC(*)OC(=O)c1ccc(C(C)(C)C)cc1,121.0,P030071,Polyvinyls,60.47,2.23
*/C=C/C(C*)OC,-10.5,P030077,Polyvinyls,25.15,0.85
*CC/C=C(/*)c1ccccc1,39.5,P030078,Polyvinyls,46.03,1.96
*C(*)O,134.0,P030079,Polyvinyls,45.61,1.65
*CC(*)OCC(CC)CCCC,-66.0,P030080,Polyvinyls,15.26,0.26
*CC(*)SCCCC,-20.0,P030081,Polyvinyls,23.62,0.61
*CC(*)SCC,-7.0,P030083,Polyvinyls,28.33,0.83
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-10.0,P030084,Other polymers,37.96,0.76
*C(F)(F)C(*)(F)OC(F)(F)C(F)(F)F,29.0,P030085,Other polymers,37.78,1.08
*C(F)(F)C(*)(OC(F)(F)F)OC(F)(F)F,-60.0,P030086,Other polymers,30.81,0.52
*C(OC(F)(F)F)C(*)(F)F,-10.0,P030087,Other polymers,29.4,0.85
*C(F)C(*)(F)OC(F)(F)F,-10.0,P030088,Other polymers,29.67,0.77
*C(F)(F)C(*)(F)OC(F)(F)F,-5.0,P030089,Other polymers,36.83,0.9
*CC(*)OCC(C)(C)CC,9.0,P030091,Polyvinyls,27.3,0.83
*CC(*)SC,-1.0,P030092,Polyvinyls,27.34,0.91
*CC(*)OCCCCCCCC,-79.5,P030093,Polyvinyls,11.49,0.14
*CC(*)(F)C(C)=O,142.0,P030095,Other polymers,43.23,1.64
*CC(*)C(=O)c1ccccc1,72.75,P030096,Polyvinyls,49.4,2.0
*CC(*)C(=O)c1ccc(Br)c(OC)c1,44.0,P030097,Polyvinyls,52.63,1.94
*CC(*)C(=O)c1ccc(C(C)(C)C)cc1,103.5,P030098,Polyvinyls,61.75,1.97
*CC(*)C(=O)c1ccc(Cl)cc1,63.0,P030099,Polyvinyls,53.98,2.06
*CC(*)C(=O)c1ccc(CC)cc1,49.25,P030100,Polyvinyls,52.58,1.87
*CC(*)C(=O)c1ccc(C(C)C)cc1,62.5,P030101,Polyvinyls,54.87,1.99
*CC(*)C(=O)c1ccc(OC)cc1,46.0,P030102,Polyvinyls,50.96,1.68
*CC(*)C(=O)c1ccc(C)c(C)c1,42.0,P030103,Polyvinyls,48.95,1.95
*CC(*)C(=O)c1ccc(CCC)cc1,44.0,P030104,Polyvinyls,50.9,1.72
*CC(*)C(=O)c1ccc(C)cc1,59.5,P030105,Polyvinyls,49.71,1.85
*CC(*)OC(=O)c1ccccc1OC(C)=O,59.5,P030107,Polyvinyls,50.7,1.82
*CC(*)OC(=O)c1ccc(OC(C)=O)cc1,76.0,P030108,Polyvinyls,54.44,1.84
*CC(*)OC(=O)CCCC(=O)c1ccccc1,45.0,P030109,Polyvinyls,43.39,1.56
*CC(*)OC(=O)c1cccc(Br)c1,57.5,P030110,Polyvinyls,55.49,1.99
*CC(*)OC(=O)c1ccc(Br)cc1,85.5,P030111,Polyvinyls,64.04,2.04
*CC(*)OC(=O)c1ccc(OC(=O)CCC)cc1,61.0,P030112,Polyvinyls,54.8,1.69
*CC(*)OC(=O)c1ccccc1Cl,55.75,P030113,Polyvinyls,54.77,1.83
*CC(*)OC(=O)c1cccc(Cl)c1,61.75,P030114,Polyvinyls,59.43,1.86
*CC(*)OC(=O)c1ccc(Cl)cc1,70.25,P030115,Polyvinyls,51.88,2.17
*CC(*)OC(=O)C1CCCCC1,66.0,P030116,Polyvinyls,37.73,1.14
*CC(*)OC(=O)CC1CCCCC1,25.0,P030117,Polyvinyls,35.34,0.89
*CC(*)OC(=O)CCCC1CCCCC1,-10.0,P030118,Polyvinyls,25.28,0.69
*CC(*)OC(=O)c1ccc(OCC)cc1,70.0,P030120,Polyvinyls,54.94,2.07
*CC(*)OC(=O)c1ccc(CC)cc1,57.0,P030121,Polyvinyls,53.24,1.81
*CC(*)OC(=O)C(C)(CC)C(C)(C)C,120.0,P030122,Polyvinyls,45.26,1.31
*CC(*)OC(=O)C(F)(F)C(F)(F)C(F)(F)F,27.0,P030123,Polyvinyls,38.92,0.96
